epoch,accuracy,loss,val_accuracy,val_loss
0,0.84828156,0.493646819835185,0.9330994486808777,0.0724259465932846
1,0.91378886,0.2847241697930391,0.9387001395225525,1.239139199256897
2,0.9216,0.26151522428758217,0.9448547959327698,3.083483170485124e-05
3,0.9253803,0.24862022080614588,0.9340226650238037,0.00029141883715055883
4,0.9278421,0.2422394174736377,0.9225751161575317,8.017889194888994e-05
5,0.9285425,0.2392116721966204,0.9284835457801819,1.0111892223358154
6,0.9294249,0.23908194438560543,0.9377154111862183,0.2775198519229889
7,0.93010473,0.23534538915054273,0.9274987578392029,3.4768319892464206e-05
8,0.93001544,0.23686853243689934,0.9316223859786987,0.00034033090923912823
9,0.93059915,0.2375757105738647,0.93254554271698,0.0001409163960488513
10,0.9294043,0.2412579299313268,0.9360536932945251,3.0119001166895032e-05
11,0.93024206,0.2391953764235573,0.9395617842674255,0.0012125346111133695
12,0.9294661,0.24068402846798634,0.9378384947776794,0.0006481733289547265
13,0.9292601,0.2434764156996797,0.9308222532272339,0.029421096667647362
14,0.9292189,0.24379577857568258,0.9461472630500793,0.0005725867231376469
15,0.929576,0.24372707481477898,0.9360536932945251,0.00011994269880233333
16,0.92890644,0.24651634438805303,0.9192516207695007,0.201409712433815
17,0.9290163,0.24630356546278934,0.9382078051567078,0.009060422889888287
18,0.92837083,0.24651558862386677,0.9282988905906677,4.172299213678343e-06
19,0.9284017,0.25033001651151315,0.9338380098342896,0.0
20,0.9289957,0.24913806038295105,0.9332225918769836,0.10649612545967102
21,0.9282507,0.24889801928109656,0.9337149262428284,6.853858212707564e-05
22,0.92773217,0.25163266512776,0.9180822372436523,0.24980662763118744
23,0.92701805,0.2560016169319391,0.9359921216964722,0.0384354367852211
24,0.9274747,0.25557180020507764,0.9260216951370239,0.0007623444544151425
