epoch,accuracy,loss,val_accuracy,val_loss
0,0.84555537,0.5026936158088272,0.9319301247596741,1.1735917329788208
1,0.9134146,0.2862332833206257,0.9451624751091003,0.0205162912607193
2,0.92161715,0.25962693622717914,0.9390078783035278,0.11179371923208237
3,0.9254798,0.2482920431574255,0.9340226650238037,0.007558451499789953
4,0.9273099,0.2427790818212578,0.9423929452896118,0.2855693995952606
5,0.92820257,0.24065824025360338,0.9427621960639954,0.8398414850234985
6,0.929473,0.23687302690280337,0.9303914308547974,0.09085477143526077
7,0.9293047,0.23907220527585676,0.9304530024528503,0.0038800882175564766
8,0.92973393,0.23826194395042272,0.9466395974159241,0.24915039539337158
9,0.9304687,0.2373895274605572,0.945777952671051,0.2990955114364624
10,0.93005323,0.23916199111212105,0.9451009631156921,0.08481380343437195
11,0.92928755,0.24255596554365014,0.9393771886825562,0.0320233553647995
12,0.9290987,0.2414880405079929,0.9266986846923828,0.14632436633110046
